"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated_stored","temporarily_stored_start_year","generated_in_the_year","temporarily_stored_end_year","total_waste_given_away","waste_treated_by_original_generator","waste_transferred_for_treatment_in_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2023,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",795.973,0,795.973,0.58,795.393,0,795.393,0,0
2023,"GORENJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1055.742,0,1055.742,0,1055.742,0,1055.742,0,0
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4290.909,5.057,4285.852,3.457,4269.252,0,4269.252,0,0
2023,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3148.265,8.62,3139.645,1.31,3146.955,0,3146.955,0,0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",54.586,0,54.586,0,54.586,0,54.586,0,0
2023,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",145.736,0,145.736,0,145.736,0,145.736,0,0
2023,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2818.36,3.977,2814.383,2.591,2815.469,0.3,2815.469,0,0
2023,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",446.646,0,446.646,0,446.646,0,446.646,0,0
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",365.337,0,365.337,0,360.177,0,360.177,0,0
2023,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1408.33,0.2,1408.13,0.12,1408.21,0,1283.29,124.92,0
2023,"GORIŠKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1.8,0,1.8,0,1.8,0,1.8,0,0
2023,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5132.239,11.881,5120.358,13.77,5118.469,0,5118.469,0,0
2023,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1449.785,14.52,1435.265,7.326,1442.459,0,1442.459,0,0
2023,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",34.27,0,34.27,0,34.27,0,34.27,0,0
2023,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2.58,0,2.58,0,2.58,0,2.58,0,0
2023,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",498.935,0.345,498.59,15.31,473.245,10.38,473.245,0,0
2023,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",56.442,0.05,56.392,0.15,56.292,0,56.292,0,0
2023,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",121.831,1.26,120.571,5.17,116.661,0,116.661,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",3312.428,3.5,3308.928,3.5,3308.928,0,3308.928,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1792.734,0,1792.734,0,1792.734,0,1792.734,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4415.681,11.67,4404.011,14.985,4400.696,0,4400.696,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2012.715,10.9,2001.815,25.93,1986.785,0,1986.785,0,0
2023,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",286.111,0,286.111,0.3,285.811,0,285.811,0,0
2023,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1.56,0,1.56,0,1.56,0,1.56,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1115.772,0.46,1115.312,0.86,1114.802,0.11,1114.802,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",51.19,0,51.19,0,51.19,0,51.19,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",88.649,0,88.649,0,88.649,0,88.649,0,0
2023,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",443.24,0,443.24,0,4.24,439,4.24,0,0
2023,"KOROŠKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1250.19,0,1250.19,0,1250.19,0,1250.19,0,0
2023,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1673.792,6.63,1667.162,0.73,1673.062,0,1673.062,0,0
2023,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",754.056,1.01,753.046,0,754.056,0,754.056,0,0
2023,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",46.41,31.61,14.8,0,46.41,0,46.41,0,0
2023,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",13.412,0,13.412,0,13.412,0,13.412,0,0
2023,"KOROŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",54.04,0,54.04,0,54.04,0,54.04,0,0
2023,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",171.83,0.1,171.73,0.15,171.39,0.29,171.39,0,0
2023,"KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",273.98,0,273.98,0,273.98,0,273.98,0,0
2023,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",452.502,1.8,450.702,0,452.502,0,452.502,0,0
2023,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",63.58,0,63.58,0,63.58,0,63.58,0,0
2023,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2073.208,4.744,2068.464,5.178,2068.03,0,2068.03,0,0
2023,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1928.21,0.82,1927.39,0.875,1927.335,0,1927.335,0,0
2023,"OBALNO-KRAŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",78.5,0,78.5,0,78.5,0,78.5,0,0
2023,"OBALNO-KRAŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",10.87,0,10.87,0,10.87,0,10.87,0,0
2023,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",97.928,0.15,97.778,0.06,97.768,0.1,97.768,0,0
